ID,Country,Continent,LE,WellBeing,Footprint,HPI
143,Kuwait,Asia,74.6,6.6,9.7,27.1
38,Kyrgyzstan,Asia,67.7,5,1.3,49.1
37,Laos,Asia,67.5,5,1.3,49.1
118,Latvia,Europe,73.3,4.7,4,34.9
69,Lebanon,Asia,72.6,5.2,2.8,42.9
116,Liberia,Africa,56.8,4.2,1.3,35.2
81,Libya,Africa,74.8,4.9,3.2,40.8
120,Lithuania,Europe,72.2,5.1,4.4,34.6
138,Luxembourg,Europe,80,7.1,10.7,29
140,Macedonia,Europe,74.8,4.2,5.4,28.3
49,Madagascar,Africa,66.7,4.6,1.2,46.8
72,Malawi,Africa,54.2,5.1,0.8,42.5
84,Malaysia,Asia,74.2,5.6,3.9,40.5
147,Mali,Africa,51.4,3.8,1.9,26
66,Malta,Europe,79.6,5.8,4.3,43.1
128,Mauritania,Africa,58.6,5,2.9,32.3
111,Mauritius,Africa,73.4,5.5,4.6,36.6
22,Mexico,North America,77,6.8,3.3,52.9
40,Moldova,Europe,69.3,5.6,2.1,48
145,Mongolia,Asia,68.5,4.6,5.5,26.8
42,Morocco,Africa,72.2,4.4,1.3,47.9
114,Mozambique,Africa,50.2,4.7,0.8,35.7
61,Myanmar,Asia,65.2,5.3,1.9,44.2
96,Namibia,Africa,62.5,4.9,2,38.9
58,Nepal,Asia,68.8,3.8,0.8,45.6
67,Netherlands,Europe,80.7,7.5,6.3,43.1
28,New Zealand,Europe,80.7,7.2,4.3,51.6
8,Nicaragua,South America,74,5.7,1.6,57.1
144,Niger,Africa,54.7,4.1,2.6,26.8
125,Nigeria,Africa,51.9,4.8,1.4,33.6
29,Norway,Europe,81.1,7.6,4.8,51.4
16,Pakistan,Asia,65.4,5.3,0.8,54.1
30,Palestine,Asia,72.8,4.8,1.4,51.2
7,Panama,North America,76.1,7.3,3,57.8
57,Paraguay,South America,72.5,5.8,3,45.8
24,Peru,South America,74,5.6,2,52.4
25,Philippines,Asia,68.7,4.9,1,52.4
71,Poland,Europe,76.1,5.8,3.9,42.6
97,Portugal,Europe,79.5,4.9,4.1,38.7
149,Qatar,Asia,78.4,6.6,11.7,25.2
75,Romania,Europe,74,4.9,2.8,42.2
122,Russia,Asia,68.8,5.5,4.4,34.5
108,Rwanda,Africa,55.4,4,0.7,36.9
56,Saudi Arabia,Asia,73.9,6.7,4,46
126,Senegal,Africa,59.3,3.8,1.5,33.3
79,Serbia,Europe,74.5,4.5,2.6,41.3
139,Sierra Leone,Africa,47.8,4.1,1.1,28.8
90,Singapore,Asia,81.1,6.5,6.1,39.8
89,Slovakia,Europe,75.4,6.1,4.7,40.1
87,Slovenia,Europe,79.3,6.1,5.2,40.2
142,South Africa,Africa,52.8,4.7,2.6,28.2
62,Spain,Europe,81.4,6.2,4.7,44.1
35,Sri Lanka,Asia,74.9,4.2,1.2,49.4
101,Sudan,Africa,61.5,4.4,1.6,37.6
52,Sweden,Europe,81.4,7.5,5.7,46.2
34,Switzerland,Europe,82.3,7.5,5,50.3
47,Syria,Asia,75.9,4.1,1.5,47.1
43,Tajikistan,Asia,67.5,4.4,0.9,47.8
133,Tanzania,Africa,58.2,3.2,1.2,30.7
20,Thailand,Asia,74.1,6.2,2.4,53.5
141,Togo,Africa,57.1,2.8,1,28.2
136,Trinidad and Tobago,North America,70.1,6.7,7.6,30.3
39,Tunisia,Africa,74.5,4.7,1.8,48.3
44,Turkey,Asia,74,5.5,2.6,47.6
95,Turkmenistan,Asia,65,6.6,4,39.1
131,Uganda,Africa,54.1,4.2,1.6,31.5
100,Ukraine,Europe,68.5,5.1,3.2,37.6
130,United Arab Emirates,Asia,76.5,7.2,8.9,31.8
41,United Kingdom,Europe,80.2,7,4.7,47.9
105,United States of America,North America,78.5,7.2,7.2,37.3
93,Uruguay,Africa,77,6.1,5.1,39.3
54,Uzbekistan,Asia,68.3,5.1,1.8,46
9,Venezuela,South America,74.4,7.5,3,56.9
2,Vietnam,Asia,75.2,5.8,1.4,60.4
68,Yemen,Asia,65.5,3.9,0.9,43
99,Zambia,Africa,49,5.3,0.8,37.7
115,Zimbabwe,Africa,51.4,4.8,1.2,35.3
